Orthogroup	Duplications (all)	Duplications (50% support)
OG0001332	9	8
OG0001333	9	6
OG0001334	14	9
OG0001335	8	4
OG0001336	11	8
OG0001337	8	7
OG0001338	10	8
OG0001339	8	8
OG0001340	8	3
OG0001341	14	9
OG0001342	10	7
OG0001343	12	11
OG0001344	14	10
OG0001345	10	9
OG0001346	7	4
OG0001347	15	9
OG0001348	14	11
OG0001349	15	11
OG0001350	13	9
OG0001351	17	14
OG0001352	12	6
OG0001353	16	10
OG0001354	11	7
OG0001355	9	4
OG0001356	10	8
OG0001357	13	7
OG0001358	8	8
OG0001359	8	5
OG0001360	7	2
OG0001361	12	6
OG0001362	15	8
OG0001363	9	4
OG0001364	10	7
OG0001365	15	13
OG0001366	9	7
OG0001367	17	11
OG0001368	11	10
OG0001369	8	5
OG0001370	23	18
OG0001371	9	7
OG0001372	10	5
OG0001373	11	9
OG0001374	36	36
OG0001375	9	2
OG0001376	12	10
OG0001377	10	7
OG0001378	8	6
OG0001379	8	5
OG0001380	10	7
OG0001381	10	7
OG0001382	22	17
OG0001383	7	2
